satisfaction_level,evaluation_score,projects,monthly_hours,tenure,accident,left,promoted,salary_level,department_Information Technology,department_Research and Development,department_Accounting,department_Human Resources,department_Management,department_Marketing,department_Product Management,department_Sales,department_Support,department_Technical,overtime,workload,stress_level
0.11,0.83,6,282,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,690.7561074648562,6279.600976953238
0.38,0.55,2,147,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,207.88939366884497,547.0773517601183
0.09,0.95,6,304,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,744.6448818060861,8273.832020067624
0.46,0.57,2,139,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,196.57568516986024,427.3384460214353
0.4,0.53,2,158,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,223.44574285494903,558.6143571373725
0.89,0.92,5,242,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,541.1284505549492,608.0094950055609
0.82,0.87,4,239,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,478.0,582.9268292682927
0.4,0.49,2,135,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,190.91883092036784,477.29707730091957
0.41,0.46,2,128,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,181.01933598375618,441.51057557013706
0.38,0.5,2,132,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,186.67619023324855,491.2531321927593
0.09,0.62,6,294,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,720.1499843782543,8001.666493091715
0.45,0.57,2,134,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,189.50461735799476,421.121371906655
0.4,0.51,2,145,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,205.0609665440988,512.6524163602469
0.45,0.55,2,140,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,197.9898987322333,439.97755273829625
0.84,0.87,4,246,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,492.0,585.7142857142858
0.1,0.94,6,255,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,624.6198844097104,6246.198844097104
0.38,0.46,2,137,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,193.74725804511402,509.861205381879
0.45,0.5,2,126,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,178.19090885901,395.9797974644666
0.11,0.89,6,306,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,749.5438612916524,6814.035102651385
0.41,0.54,2,152,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,214.96046148071045,524.2938084895377
0.87,0.88,5,269,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,601.5022859474435,691.3819378706247
0.45,0.48,2,158,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,223.44574285494903,496.54609523322006
0.4,0.46,2,127,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,179.60512242138307,449.01280605345767
0.1,0.8,7,281,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,743.45611840915,7434.5611840915
0.09,0.89,6,276,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,676.0591690081571,7511.76854453508
0.84,0.74,3,182,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,315.23324697753566,375.27767497325675
0.4,0.55,2,147,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,207.88939366884497,519.7234841721124
0.57,0.7,3,273,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,472.84987046630346,829.5611762566728
0.4,0.54,2,148,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,209.30360723121808,523.2590180780452
0.43,0.47,2,147,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,207.88939366884497,483.4637062066162
0.13,0.78,6,152,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,372.32244090304306,2864.018776177254
0.44,0.55,2,135,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,190.91883092036784,433.90643390992693
0.38,0.55,2,134,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,189.50461735799476,498.69636146840725
0.39,0.54,2,132,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,186.67619023324855,478.6568980339706
0.1,0.92,7,307,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,812.2456524968294,8122.456524968294
0.37,0.46,2,140,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,197.9898987322333,535.1078344114414
0.11,0.94,7,255,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,674.6665843214706,6133.332584740642
0.1,0.81,6,309,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,756.892330520002,7568.92330520002
0.38,0.54,2,128,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,181.01933598375618,476.36667364146365
0.85,1.0,4,225,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,450.0,529.4117647058823
0.85,0.91,5,226,5,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,505.3513629149525,594.5310151940618
0.11,0.93,7,308,4,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,814.891403807894,7408.103670980854
0.1,0.95,6,244,5,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,597.6754972390954,5976.754972390954
0.36,0.56,2,132,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,186.67619023324855,518.5449728701349
0.11,0.94,6,286,4,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,700.5540664359888,6368.673331236262
0.81,0.7,6,161,4,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,394.36784858809165,486.87388714579214
0.43,0.54,2,153,3,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,216.37467504308356,503.1969187048455
0.9,0.98,4,264,6,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,528.0,586.6666666666666
0.76,0.86,5,223,5,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,498.64315898245314,656.1094197137542
0.43,0.5,2,135,3,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,190.91883092036784,443.9972812101578
0.74,0.99,2,277,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,391.73715677734737,529.3745361856046
0.09,0.77,5,275,4,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,614.9186938124421,6832.429931249358
0.45,0.49,2,149,3,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,210.7178207935912,468.26182398575816
0.09,0.87,7,295,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,780.4966367640543,8672.184852933937
0.11,0.97,6,277,4,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,678.5086587509403,6168.260534099457
0.11,0.79,7,306,4,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,809.5999011857648,7359.999101688771
0.1,0.83,6,295,4,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,722.5994741210375,7225.994741210375
0.4,0.54,2,137,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,193.74725804511402,484.36814511278504
0.43,0.56,2,157,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,222.03152929257593,516.3523937036649
0.39,0.56,2,142,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,200.8183258569795,514.9187842486654
0.45,0.54,2,140,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,197.9898987322333,439.97755273829625
0.38,0.49,2,151,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,213.54624791833737,561.9638103114141
0.79,0.59,4,139,3,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,278.0,351.89873417721515
0.84,0.85,4,249,6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,498.0,592.8571428571429
0.11,0.77,6,291,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,712.8015151499047,6480.013774090043
0.11,0.87,6,305,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,747.0943715488693,6791.767014080629
0.17,0.84,5,232,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,518.7677707799512,3051.575122235007
0.44,0.45,2,132,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,186.67619023324855,424.26406871192853
0.37,0.57,2,130,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,183.84776310850236,496.8858462391956
0.1,0.79,6,291,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,712.8015151499047,7128.015151499047
0.4,0.5,2,130,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,183.84776310850236,459.6194077712559
0.89,1.0,5,246,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,550.0727224649482,618.059238724661
0.42,0.48,2,143,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,202.2325394193526,481.50604623655386
0.46,0.55,2,129,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,182.43354954612929,396.594672926368
0.09,0.83,6,255,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,624.6198844097104,6940.220937885671
0.37,0.51,2,155,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,219.20310216782974,592.4408166698101
0.1,0.77,6,265,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,649.1147818375422,6491.147818375422
0.1,0.84,6,279,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,683.4076382365066,6834.076382365066
0.11,0.97,6,284,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,695.6550869504225,6324.13715409475
0.9,1.0,5,221,6,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,494.17102302745354,549.0789144749484
0.38,0.52,2,154,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,217.78888860545666,573.128654224886
0.36,0.52,2,147,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,207.88939366884497,577.4705379690139
0.42,0.46,2,150,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,212.13203435596427,505.0762722761054
0.09,0.94,7,267,4,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,706.4156000542457,7849.062222824953
0.43,0.52,2,158,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,223.44574285494903,519.6412624533699
0.24,0.46,7,224,5,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,592.6482936784683,2469.3678903269515
0.91,1.0,4,257,5,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,514.0,564.8351648351648
0.44,0.5,2,148,3,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,209.30360723121808,475.69001643458654
0.71,0.87,3,177,4,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,306.5729929396913,431.7929478023821
0.4,0.49,2,155,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,219.20310216782974,548.0077554195743
0.43,0.47,2,144,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,203.6467529817257,473.59709995750165
0.09,0.85,6,289,4,0,1,0,2,0,0,0,1,0,0,0,0,0,0,1,707.9025356643384,7865.583729603761
0.43,0.52,2,160,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,226.27416997969522,526.2189999527795
0.9,0.96,4,258,5,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,516.0,573.3333333333334
0.84,1.0,5,234,5,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,523.2399067349509,622.9046508749416
0.37,0.48,2,137,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,193.74725804511402,523.6412379597676
0.86,0.68,5,263,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,588.0858780824448,683.820788467959
0.11,0.84,6,251,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,614.8219254385776,5589.290231259797
0.37,0.57,2,133,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,188.09040379562165,508.35244269086934
0.4,0.46,2,132,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,186.67619023324855,466.6904755831213
0.14,0.62,4,158,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,316.0,2257.142857142857
0.4,0.46,2,135,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,190.91883092036784,477.29707730091957
0.75,1.0,4,216,6,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,432.0,576.0
0.11,0.84,6,300,5,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,734.8469228349534,6680.426571226849
0.46,0.49,2,138,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,195.16147160748713,424.26406871192853
0.11,0.92,6,260,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,636.8673331236263,5789.703028396602
0.38,0.49,2,132,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,186.67619023324855,491.2531321927593
0.7,0.89,3,183,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,316.96529778510455,452.80756826443513
0.09,0.82,6,250,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,612.3724356957945,6804.138174397716
0.37,0.45,2,151,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,213.54624791833737,577.1520214009118
0.1,0.83,6,292,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,715.2510048926879,7152.510048926879
0.38,0.57,2,140,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,197.9898987322333,521.0260492953508
0.9,1.0,5,221,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,494.17102302745354,549.0789144749484
0.44,0.51,2,138,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,195.16147160748713,443.5487991079253
0.36,0.5,2,132,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,186.67619023324855,518.5449728701349
0.31,0.84,7,133,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,351.88492437159056,1135.1126592631954
0.1,0.84,6,283,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,693.2055972076394,6932.055972076393
0.42,0.48,2,129,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,182.43354954612929,434.3655941574507
0.74,1.0,4,249,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,498.0,672.972972972973
0.73,0.87,5,257,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,574.669470217446,787.2184523526658
0.09,0.96,6,245,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,600.1249869818786,6668.055410909762
0.45,0.53,2,155,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,219.20310216782974,487.1180048173994
0.11,0.8,6,256,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,627.0693741524935,5700.630674113578
0.37,0.47,2,152,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,214.96046148071045,580.9742202181363
0.84,0.99,4,267,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,534.0,635.7142857142858
0.41,0.46,2,151,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,213.54624791833737,520.8445071178961
0.76,0.92,4,239,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,478.0,628.9473684210526
0.11,0.87,6,306,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,749.5438612916524,6814.035102651385
0.84,0.88,4,263,5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,526.0,626.1904761904763
0.39,0.5,2,147,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,207.88939366884497,533.0497273560127
0.11,0.91,6,278,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,680.9581484937235,6190.528622670213
0.45,0.56,2,154,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,217.78888860545666,483.9753080121259
0.37,0.52,2,143,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,202.2325394193526,546.5744308631151
0.4,0.52,2,155,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,219.20310216782974,548.0077554195743
0.39,0.48,2,160,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,226.27416997969522,580.190179435116
0.11,0.8,6,304,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,744.6448818060861,6769.4989255098735
0.83,1.0,5,240,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,536.6563145999496,646.5738730119875
0.11,0.92,6,305,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,747.0943715488693,6791.767014080629
0.39,0.5,2,136,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,192.33304448274095,493.1616525198486
0.45,0.45,2,132,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,186.67619023324855,414.8359782961079
0.1,0.95,7,301,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,796.3711446304418,7963.711446304417
0.9,0.98,5,243,6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,543.3645185324489,603.7383539249432
0.45,0.51,2,147,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,207.88939366884497,461.97643037521107
0.79,0.89,5,239,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,534.4202466224498,676.481324838544
0.9,0.99,5,260,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,581.3776741499454,645.9751934999393
0.11,0.84,7,296,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,783.1423880751189,7119.476255228354
0.43,0.55,2,129,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,182.43354954612929,424.2640687119286
0.31,0.54,5,132,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,295.16097302997224,952.1321710644266
0.32,0.5,2,135,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,190.91883092036784,596.6213466261495
0.45,0.57,2,158,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,223.44574285494903,496.54609523322006
0.81,0.99,4,259,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,518.0,639.5061728395061
0.41,0.46,2,160,3,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,226.27416997969522,551.8882194626713
0.11,0.78,7,278,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,735.5188644759562,6686.535131599602
0.1,0.88,6,284,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,695.6550869504225,6956.5508695042245
0.7,0.53,2,274,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,387.49451609022805,553.5635944146115
0.54,0.74,4,164,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,328.0,607.4074074074074
0.41,0.48,2,148,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,209.30360723121808,510.49660300297097
0.38,0.5,2,140,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,197.9898987322333,521.0260492953508
0.37,0.51,2,127,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,179.60512242138307,485.41924978752184
0.11,0.85,6,308,5,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,754.4428407772187,6858.571279792897
0.4,0.47,2,146,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,206.4751801064719,516.1879502661797
0.1,0.84,6,261,4,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,639.3168228664094,6393.168228664094
0.89,0.99,5,257,5,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,574.669470217446,645.6960339521866
0.11,0.8,6,285,4,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,698.1045766932057,6346.405242665506
0.36,0.55,2,141,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,199.40411229460642,553.9003119294623
0.4,0.46,2,127,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,179.60512242138307,449.01280605345767
0.09,0.85,6,297,4,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,727.4984536066038,8083.316151184486
0.4,0.46,2,143,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,202.2325394193526,505.58134854838147
0.37,0.55,2,152,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,214.96046148071045,580.9742202181363
0.44,0.51,2,156,3,0,1,0,2,0,0,0,0,0,0,0,0,0,1,1,220.61731573020285,501.4029902959156
0.09,0.8,7,283,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,748.7476210312792,8319.418011458658
0.92,0.87,4,226,6,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,452.0,491.30434782608694
0.74,0.91,4,232,5,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,464.0,627.0270270270271
0.09,0.82,6,249,4,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,609.9229459530113,6776.921621700126
0.89,0.95,4,275,5,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,550.0,617.9775280898876
0.09,0.8,6,304,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,744.6448818060861,8273.832020067624
0.27,0.54,7,278,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,735.5188644759562,2724.1439425035414
0.1,0.91,6,287,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,703.0035561787721,7030.03556178772
0.1,0.89,7,285,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,754.0391236534084,7540.391236534084
0.77,0.94,5,226,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,505.3513629149525,656.3004713181201
0.9,0.82,5,259,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,579.1416061724456,643.4906735249396
0.39,0.5,2,135,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,190.91883092036784,489.5354638983791
0.76,1.0,5,219,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,489.69888707245394,644.3406408848078
0.1,0.93,6,256,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,627.0693741524935,6270.693741524935
0.87,0.9,5,254,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,567.9612662849466,652.8290417068353
0.38,0.5,2,153,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,216.37467504308356,569.407039587062
0.77,0.99,5,228,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,509.82349886995206,662.1084400908468
0.78,0.87,4,228,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,456.0,584.6153846153846
0.44,0.5,2,128,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,181.01933598375618,411.407581781264
0.38,0.52,2,153,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,216.37467504308356,569.407039587062
0.43,0.46,2,156,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,220.61731573020285,513.0635249539602
0.39,0.5,4,294,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,588.0,1507.6923076923076
0.88,1.0,5,219,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,489.69888707245394,556.4760080368794
0.45,0.46,2,153,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,216.37467504308356,480.83261120685233
0.4,0.53,2,151,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,213.54624791833737,533.8656197958434
0.36,0.51,2,155,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,219.20310216782974,608.8975060217493
0.36,0.48,2,158,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,223.44574285494903,620.6826190415251
0.9,0.98,5,245,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,547.8366544874485,608.7073938749428
0.43,0.53,2,131,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,185.26197667087547,430.8418062113383
0.89,0.87,5,225,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,503.1152949374527,565.298084199385
0.1,0.84,6,286,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,700.5540664359888,7005.540664359888
0.37,0.5,2,135,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,190.91883092036784,515.9968403253185
0.37,0.51,2,153,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,216.37467504308356,584.7964190353609
0.87,0.9,5,252,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,563.489130329947,647.6886555516633
0.4,0.56,2,149,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,210.7178207935912,526.794551983978
0.9,0.97,4,258,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,516.0,573.3333333333334
0.37,0.46,2,158,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,223.44574285494903,603.9074131214838
0.44,0.54,2,149,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,210.7178207935912,478.9041381672527
0.85,0.95,5,236,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,527.7120426899504,620.8376972822946
0.78,0.98,5,239,6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,534.4202466224498,685.1541623364741
0.42,0.47,2,159,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,224.85995641732214,535.3808486126718
